,CITY_TOWN_NAME,CRASH_HOUR,DRVR_CNTRB_CIRC_CL,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON,DRVR_DISTRACTED_CL,CNTY_NAME,SPEED_LIMIT,SURFACE_TP,STRUCT_CND
3985,GEORGETOWN,16,Other causes,Not at junction,Traffic control signal,42.72359728,-70.99029471, D1: Passenger,ESSEX,25.0,Bituminous concrete road,Fair
3986,ASHBY,17,Distracted/Inattention,Not at junction,No controls,42.67419234,-71.77673284, D1: External distraction (outside the vehicle),MIDDLESEX,35.0,Bituminous concrete road,Good
3987,ANDOVER,2,Drowsey Driving,Railway grade crossing,No controls,42.64569661,-71.22623593," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,65.0,Bituminous concrete road,Good
3988,EAST BRIDGEWATER,19,Drowsey Driving,T-intersection,No controls,42.04296757,-70.9562676," D1: Other activity (searching, eating, personal hygiene, etc.)",PLYMOUTH,40.0,Bituminous concrete road,Fair
3989,ROCKLAND,17,Distracted/Inattention,Four-way intersection,Traffic control signal,42.16544047,-70.89489, D1: Manually operating an electronic device,PLYMOUTH,35.0,Bituminous concrete road,Fair
3990,ROCKLAND,18,Distracted/Inattention,Not at junction,No controls,42.1259969,-70.91312109, D1: Manually operating an electronic device,PLYMOUTH,30.0,Surface-treated road,Fair
3991,ROCKLAND,17,Distracted/Inattention,Not at junction,No controls,42.12798422,-70.91347985," D1: Other activity (searching, eating, personal hygiene, etc.)",PLYMOUTH,30.0,Surface-treated road,Fair
3992,CANTON,18,Diregarded traffic markings,T-intersection,Stop signs,42.16369,-71.15467," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,25.0,Surface-treated road,Fair
3993,METHUEN,23,Distracted/Inattention,T-intersection,No controls,42.72934348,-71.18784628," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,25.0,Bituminous concrete road,Good
3994,CHELSEA,8,Other causes,Four-way intersection,Stop signs,42.39817297,-71.03433393," D1: External distraction (outside the vehicle) / D2: Other activity (searching, eating, personal hygiene, etc.)",SUFFOLK,20.0,Bituminous concrete road,Fair
3995,DRACUT,12,Distracted/Inattention,T-intersection,Stop signs,42.66180261,-71.27476196," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,30.0,Surface-treated road,Fair
3996,MARBLEHEAD,17,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.49640385,-70.86251907, D1: Manually operating an electronic device,ESSEX,25.0,Bituminous concrete road,Fair
3997,MARBLEHEAD,1,Reckless Driving,Not at junction,No controls,42.5051185,-70.8548353," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,30.0,Bituminous concrete road,Fair
3998,BOSTON,13,Tailgating,Not at junction,No controls,42.31786844,-71.05149126, D1: External distraction (outside the vehicle),SUFFOLK,55.0,Bituminous concrete road,Fair
3999,WILMINGTON,11,Tailgating,Not at junction,Traffic control signal,42.56537049,-71.18454494, D1: Passenger,MIDDLESEX,30.0,Bituminous concrete road,Good
4000,AYER,17,Reckless Driving,Not at junction,No controls,42.55187338,-71.56775145," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,45.0,Bituminous concrete road,Good
4001,BEVERLY,1,Distracted/Inattention,Not at junction,No controls,42.56048434,-70.85520641, D1: Manually operating an electronic device,ESSEX,25.0,Bituminous concrete road,Fair
4002,HAVERHILL,11,Distracted/Inattention,Not at junction,Yield signs,42.76174508,-71.12243094," D1: Other activity, electronic device",ESSEX,65.0,Bituminous concrete road,Good
4003,MIDDLEBOROUGH,6,Uncontrollable factors,Not at junction,No controls,41.92929738,-70.89243096, D1: External distraction (outside the vehicle),PLYMOUTH,40.0,Surface-treated road,Deficient
4004,CAMBRIDGE,9,Distracted/Inattention,Not at junction,No controls,42.37987014,-71.13763812," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,25.0,Surface-treated road,Fair
4005,CAMBRIDGE,16,Distracted/Inattention,Not at junction,No controls,42.39543474,-71.12793365," D1: Other activity (searching, eating, personal hygiene, etc.)",MIDDLESEX,25.0,Bituminous concrete road,Fair
4006,FRANKLIN,11,Distracted/Inattention,T-intersection,No controls,42.07442,-71.39246," D1: Other activity, electronic device",NORFOLK,35.0,Surface-treated road,Good
4007,BOSTON,14,Reckless Driving,Not at junction,No controls,42.35306617,-71.08391785," D1: Other activity, electronic device",SUFFOLK,40.0,Bituminous concrete road,Fair
4008,BOSTON,21,Tailgating,Off-ramp,No controls,42.35183376,-71.09143371, D1: External distraction (outside the vehicle),SUFFOLK,30.0,Bituminous concrete road,Fair
4009,BURLINGTON,8,Distracted/Inattention,Not at junction,Traffic control signal,42.48664639,-71.20576028, D1: External distraction (outside the vehicle),MIDDLESEX,35.0,Bituminous concrete road,Good
